target_coordinates	gene_name	gene_id	event_type	dPSI
chr8:142274781-142274863	TSNARE1	ENSG00000171045	ES	-0.345
chr5:179617989-179618060	HNRNPH1	ENSG00000169045	ES	-0.689
chrX:119625335-119625379	SEPTIN6	ENSG00000125354	ES	0.515
chr12:53171177-53171441	CSAD	ENSG00000139631	ES	0.349
chr10:72102850-72102967	ASCC1	ENSG00000138303	ES	-0.551
chr14:35548508-35548538	RALGAPA1	ENSG00000174373	ES	-0.286
chr9:125915686-125915927	PBX3	ENSG00000167081	ES	0.491
chr5:139279935-139280058	MATR3	ENSG00000280987	ES	-0.5
chr2:128156392-128156415	UGGT1	ENSG00000136731	ES	-0.404
chr10:95414494-95414862	SORBS1	ENSG00000095637	ES	-0.516
chr10:97450357-97450536	ZDHHC16	ENSG00000171307	ES	-0.35
chr10:122428276-122428316	PLEKHA1	ENSG00000107679	ES	-0.22
chr11:9780376-9780575	SBF2-AS1	ENSG00000246273	ES	-0.746
chr11:13355226-13355296	BMAL1	ENSG00000133794	ES	0.365
chr3:37091467-37091538	LRRFIP2	ENSG00000093167	ES	-0.522
chr11:70421470-70421580	CTTN	ENSG00000085733	ES	-0.267
chr11:77179735-77179953	MYO7A	ENSG00000137474	ES	-0.519
chr3:66236544-66236700	SLC25A26	ENSG00000144741	ES	-0.358
chr15:29719777-29720016	TJP1	ENSG00000104067	ES	-0.335
chr22:36253838-36253991	APOL1	ENSG00000100342	ES	0.289
chr8:128082753-128082848	PVT1	ENSG00000249859	ES	-0.495
chr12:76074203-76074239	NAP1L1	ENSG00000187109	ES	0.468
chr12:130872584-130872617	RAN	ENSG00000132341	ES	0.613
chr13:42313047-42313130	AKAP11	ENSG00000023516	ES	-0.24
chr14:23966283-23966417	DHRS4	ENSG00000157326	ES	-0.223
chr6:144827348-144827386	UTRN	ENSG00000152818	ES	-0.633
chr19:43618833-43618998	ZNF428	ENSG00000131116	ES	-0.566
chr17:82393010-82393444	OGFOD3	ENSG00000181396	ES	-0.247
chr16:72391071-72391215	LINC01572	ENSG00000261008	ES	0.506
chr16:71663964-71664099	PHLPP2	ENSG00000040199	ES	0.585
chr5:173728004-173728316	LINC01484	ENSG00000253686	ES	-0.5
chr5:141634811-141635307	HDAC3	ENSG00000171720	ES	-0.204
chr6:166366969-166367184	MPC1	ENSG00000060762	ES	-0.369
chr2:55312430-55312579	CCDC88A	ENSG00000115355	ES	-0.276
chr6:1194141-1194277	ENSG00000289842	ENSG00000289842	ES	-0.584
chr22:38067682-38067770	PICK1	ENSG00000100151	ES	-0.512
chr17:47060052-47060147	ENSG00000262879	ENSG00000262879	ES	-0.275
chr5:95913775-95913934	ELL2	ENSG00000118985	ES	0.765
chr4:9799201-9799241	SLC2A9	ENSG00000109667	ES	-0.458
chr10:45751090-45751553	WASHC2C	ENSG00000172661	ES	-0.403
chr4:119499561-119499836	ENSG00000291203	ENSG00000291203	ES	0.775
chr3:9469768-9469890	SETD5	ENSG00000168137	ES	-0.636
chr6:130876431-130876775	EPB41L2	ENSG00000079819	ES	0.464
chr2:190653727-190653780	NAB1	ENSG00000138386	ES	-0.459
chr1:112957559-112957722	SLC16A1-AS1	ENSG00000226419	ES	0.291
chr15:25096828-25097030	SNHG14	ENSG00000224078	ES	0.283
chr6:109370411-109370487	CD164	ENSG00000135535	ES	0.32
chr6:142440908-142440953	ADGRG6	ENSG00000112414	ES	-0.577
chr5:142390998-142391051	SPRY4-AS1	ENSG00000231185	ES	0.402
chr9:36390569-36390616	RNF38	ENSG00000137075	ES	0.254
chr9:86298767-86298830	TUT7	ENSG00000083223	ES	-0.447
chr10:119580778-119580846	TIAL1	ENSG00000151923	ES	0.679
